design,order,po_index,po_gate_id,po_name,bdd_size,status,png,report,dot,log,dofile
mult_8,file,10,490,p[10],2492,ok,results/mult_8/file/mult_8_file_po10_p_10.png,results/mult_8/file/mult_8_file_po10_p_10.bdd.txt,results/mult_8/file/mult_8_file_po10_p_10.dot,results/mult_8/file/mult_8_file_po10_p_10.log,results/mult_8/file/mult_8_file_po10_p_10.do
mult_8,file,11,491,p[11],2027,ok,results/mult_8/file/mult_8_file_po11_p_11.png,results/mult_8/file/mult_8_file_po11_p_11.bdd.txt,results/mult_8/file/mult_8_file_po11_p_11.dot,results/mult_8/file/mult_8_file_po11_p_11.log,results/mult_8/file/mult_8_file_po11_p_11.do
mult_8,file,12,492,p[12],1554,ok,results/mult_8/file/mult_8_file_po12_p_12.png,results/mult_8/file/mult_8_file_po12_p_12.bdd.txt,results/mult_8/file/mult_8_file_po12_p_12.dot,results/mult_8/file/mult_8_file_po12_p_12.log,results/mult_8/file/mult_8_file_po12_p_12.do
mult_8,file,13,493,p[13],1026,ok,results/mult_8/file/mult_8_file_po13_p_13.png,results/mult_8/file/mult_8_file_po13_p_13.bdd.txt,results/mult_8/file/mult_8_file_po13_p_13.dot,results/mult_8/file/mult_8_file_po13_p_13.log,results/mult_8/file/mult_8_file_po13_p_13.do
mult_8,file,14,494,p[14],675,ok,results/mult_8/file/mult_8_file_po14_p_14.png,results/mult_8/file/mult_8_file_po14_p_14.bdd.txt,results/mult_8/file/mult_8_file_po14_p_14.dot,results/mult_8/file/mult_8_file_po14_p_14.log,results/mult_8/file/mult_8_file_po14_p_14.do
mult_8,file,15,495,p[15],453,ok,results/mult_8/file/mult_8_file_po15_p_15.png,results/mult_8/file/mult_8_file_po15_p_15.bdd.txt,results/mult_8/file/mult_8_file_po15_p_15.dot,results/mult_8/file/mult_8_file_po15_p_15.log,results/mult_8/file/mult_8_file_po15_p_15.do
mult_8,dfs,0,480,p[0],3,ok,results/mult_8/dfs/mult_8_dfs_po00_p_0.png,results/mult_8/dfs/mult_8_dfs_po00_p_0.bdd.txt,results/mult_8/dfs/mult_8_dfs_po00_p_0.dot,results/mult_8/dfs/mult_8_dfs_po00_p_0.log,results/mult_8/dfs/mult_8_dfs_po00_p_0.do
mult_8,dfs,1,481,p[1],7,ok,results/mult_8/dfs/mult_8_dfs_po01_p_1.png,results/mult_8/dfs/mult_8_dfs_po01_p_1.bdd.txt,results/mult_8/dfs/mult_8_dfs_po01_p_1.dot,results/mult_8/dfs/mult_8_dfs_po01_p_1.log,results/mult_8/dfs/mult_8_dfs_po01_p_1.do
mult_8,dfs,2,482,p[2],19,ok,results/mult_8/dfs/mult_8_dfs_po02_p_2.png,results/mult_8/dfs/mult_8_dfs_po02_p_2.bdd.txt,results/mult_8/dfs/mult_8_dfs_po02_p_2.dot,results/mult_8/dfs/mult_8_dfs_po02_p_2.log,results/mult_8/dfs/mult_8_dfs_po02_p_2.do
mult_8,dfs,3,483,p[3],63,ok,results/mult_8/dfs/mult_8_dfs_po03_p_3.png,results/mult_8/dfs/mult_8_dfs_po03_p_3.bdd.txt,results/mult_8/dfs/mult_8_dfs_po03_p_3.dot,results/mult_8/dfs/mult_8_dfs_po03_p_3.log,results/mult_8/dfs/mult_8_dfs_po03_p_3.do
